label	data
1	The Log4J2 website reports that there is an adapter for SLF4J, so if you write your code to SLF4J you can switch to Log4J, Log4J2, and Logback whenever you want.
0	This one fails for empty files with a java.util.NoSuchElementException.
1	Youll have to write a lot of boiler plate code just to get a decent UI that feels modern.
0	AWTis a thin layer of code on top of the OS, whereas Swing is much larger.Swing also has very much richer functionality.
1	I use ACL + log4j.
1	I mean does it save time?
1	One Line Solution CODESNIPPET_JAVA1 .
0	The current state of the MDC is attached to every event.
1	Heres an alternative which doesnt do that, and which is (IMO) simpler to understand than the NIO code (although it still uses java.nio.charset.Charset): CODESNIPPET_JAVA1 .
0	 <strike>** URL_https://github.com/sonatype/async-http-client [Async-http-client] by Sonatype</strike>.
1	Swing + SwingX + URL_http://www.miglayout.com/ [Miglayout] is my combination of choice.
1	I recommend URL_http://code.alibabatech.com/jira/browse/FASTJSON [fastjson] ,just as its name,really fast .
1	@erickson: in case you store iv, salt, etc.
0	@harschware: Given the question was: If you have java.io.InputStream object how should you process that object and produce a String?
1	But this question doesnt make any sense.
1	 Cross-datastore persistence Its hosted here: URL_https://github.com/impetus-opensource/Kundera [ URL_https://github.com/impetus-opensource/Kundera ] .
0	The page describing how to use the URL_http://www.eclipse.org/datatools/projec t_sqldevtools/sqltools_doc/SQL%20Query%20Parser%20User%20documentation.htm [SQL-Query-Parser] has an extremely brief use of URL_http://help.eclipse.org/h elp33/index.jsp?topic=/org.eclipse.datatools.doc.isv/html/reference/api/org/ec lipse/datatools/modelbase/sql/query/util/SQLQuerySourceFormat.html [SQLQuerySourceFormat] which provides these options: preserveSourceFormat the option to preserve the input source formating when SQL source text is generated statementTerminator the character separating multiple SQL statements hostVariablePrefix the character that preceedes a host language variable parameterMarker the character that identifies a host language parameter delimitedIdentifierQuote* the character that encloses delimited identifiers whose writing in case will be preserved omitSchema the current schema (omitted in SQL source, implicit to unqualified table references) qualifyIdentifiers the flag describing how identifiers in the SQL source will be qualified preserveComments the option to preserve comments in the parsed SQL source or/and the generated SQL source generateCommentsForStatementOnly the option to generate comments for the SQL source only in the context of the complete statement, or if set to false, for single SQL Query objects outside the context of a statement as well .
1	After exploring and actually using most of the major libraries listed here, I ended up writing a simplified API that is much easier to use and more fun to work with: URL_http://sharegov.blogspot.com/2011/06/json-library.html [ URL_http://sharegov.blogspot.com/2011/06/json-library.html ] .
1	JAXB Bindings File Sets @XmlElement type to String instead of XMLGregorianCalendar.
0	Your first criteria might be a little bit subjective.
1	Why use ANTLR when you can implement your own parser generator?
0	 Iris Image database: Text file db to store Iris Images.
0	Works well on Android in comparison with other answers which work only in enterprise java.
1	:).
1	@S.Lott - There is nothing wrong with flat files for a simple app.
1	I found configuring and using JBoss to be about as pleasing as trying to shave with a jagged spoon while riding a unicycle with no seat.
0	In that case, Id store the ciphertext in one field, the IV in another, and the salt and iterations together in a third.
0	Meanwhile we can dream of URL_http://groovy.codehaus.org/Operators#Operators- SafeNavigationOperator(%3F.
1	I have no affiliation to either product other than being a user of the free editions of yEd and DBVisualizer, and include them in this answer because using the combination of these programs can give a good preview on the library features needed for such a project, and can be used as comparison check for its results).
0	Perhaps you should be more specific next time.
1	Ill find more info on how to implement OAuth2 with drop wizard.
0	The GUI builder automatically takes care of the correct spacing and alignment.
0	I believe AES-128 doesnt require the unlimited strength JCE policy files.
0	Frankly, Ive never seen an editor which comes even close to what I can do manually in a text editor.
0	Real world example: _You want to create a new string out of many others_.
1	@jmort253 Many libraries are large, slow but powerful.
0	On the other hand, determining your own buffer size(s) you can tune your memory/processor usage balance.
1	To allow sending files between both computers, each computer will need to run the server (receiving code) to listen for incoming files, and they will both need to run the sending code when they want to send a file.
1	Heres a way using only standard Java library (note that the stream is not closed, YMMV).
1	I think that will be good.
0	I cant believe they can fix it, and I still cant believe mixing lightweight and heavyweight components would ever be desirable.
0	I think I vaguely remember seeing that in the logback project but I need one for the XML format.
1	 - then you just call lc.login(); and authenticate the credentials.
0	but for the 98% case, I think its pretty solid.
0	It can greatly help in migrating log4j.properties to logback.xml.
1	@Ronald: Erm... never mind that.
1	The second you start using Shiro though, you just get it.
0	If you want the file read by 3rd party as well, how about using some popular existing exchange format such as CSV or XML?
0	Both are quite good but I prefer the latter.
1	This can then be read and added to a CODETERM2 (we dont need CODETERM3 if we are not accessing it in multiple threads, and CODETERM4 is faster).
1	ill update the text.
1	Apache commons is meant to bridge different logging frameworks, but really just adds more complexity.
0	One should always strive to slot a level of interdirection and hide an implementation even if it is clogging with your own logging.
1	If you know what technology you are going to use, having a startup app that is customized for your needs can be a huge timesaver.
1	Thanks!
0	URL_http://github.com/rantav/hector [Hector] and URL_http://code.google.com/p/pelops/ [Pelops] are, as far as I know, the two that are most widely used (4).
0	A brief introduction from Apache Tika web site: The Apache Tika toolkit detects and extracts metadata and structured text content from various documents using existing parser libraries.
1	Great, stylish.
0	Do you mean, for concatenation?
0	This enables you to access spring beans from EJBs.
0	Sun also provides patch releases of GlassFish (akin to RedHats support for JBoss); see URL_https://blogs.oracle.com/glassfishforbusiness [ URL_https://blogs.oracle.com/glassfishforbusiness ] and sun.com/glassfish.
1	See full description here: URL_http://stackoverflow.com/q/5221524/828757 [Idiomatic-way-to-convert-an-InputStream-to-a-String-in-Scala] .
0	How do you create Java RESTful clients?
1	My api will just be used by my apps mobile and web interface.
1	As a best practice, an applet should only augment the servers capabilities in the context of authentication.
0	It can parse JSON to Maps and Lists faster than any other lib can parse to a JSON DOM and that is without Index Overlay mode.
1	Yeah, it really shouldnt require so much boilerplate to do something as simple as read strings from a stream.
1	Can you please clarify what null checks you would use in this case before the changed getters of someObject?
1	But if you want to make use of some auto generated clients, You can make use of WADL to describe and generate code.
0	This is the solution I went with in the end, and months later Im very happy with my decision.
1	+1 - thats exactly what he was looking for (aka cool).
0	Yes, it still is in use.
1	You can use the same scope that the rhino shell uses quite easily.
1	If you do not know this ahead of time, it is utterly bewildering.
1	Im not terribly familiar with the Guava library but I wouldnt be surprised if there was.
0	Can you package the native DLLs with your app?
1	A good alternative to RestSharp in the .NET world.
0	IDE for Swing.
0	I have a project which I need to manipulate files.
1	I wouldnt choose it for any new project -- most alternatives from the page are much better.
1	The big annoyance in switching is actually the configuration and supported appenders.
0	PlayOrm is another solution which is JPA-like but with noSQL specific features like you can do @NoSqlEmbedded on a List of Strings and it is embedded in that row leading to a table where each row is a different length than the other rows...this is a noSql common pattern which is why NoSql ORMs need a slight break from JPA.
1	The whole point of using InputStream is, that a) you dont know the length of the _complete_ stream (which bails out anything depending on available) and b) the stream can be anything - a file, a socket, something internal (which bails out anything based on File.size()).
1	You dont just want to extract parameters.
1	For most NoSQL engines youll probably want an id there, too, just for efficiencys sake.
0	From my understanding, NIO is meant for one server, many clients, but what Im thinking of is one client, many servers.
1	Thanks @trnl.
1	Will they co-exist happily?I thought I would use URL_http://logging.apache.org/log4j/1.2/index.html [log4j] together with both SL4J and the logging component from Apache commons, do you think thats a good idea?
1	3.
0	This involves creating your own URL_http://java.sun.com/javase/6/docs/api/java/security/Provider.html [CODETERM2] subclass and using it with URL_http://java.sun.com/javase/6/docs/a pi/javax/crypto/Cipher.html#getInstance%28java.lang.String,%20java.security.Pr ovider%29 [CODETERM3] .
1	It generates clean code and there is a good change that you have to tweak it a bit after code generation, you can find good documentation and underlying thoughts behind the tool URL_https://do cs.google.com/document/edit?id=1uydmzsDFIiw8OsoMdk5v_s1VW7wrujUmGdUU2zge0fs [here] .
0	It has took me hours to untangle their First Steps tutorial (with the help of another Java programmer!
1	It does not work for me to count the lines.The thing is: I have a file and I need to split it in 200 (this can change, it will come from the database) files for example.How do I do that?
0	If your code is running in a web browser, you will likely use other things.
1	BTW - I am the project lead for JBoss Messaging and HornetQ.
1	Im curious.
1	So best keep max one nullable item per line.
0	However, isnt there a security risk here of sending password in plain text?
1	The problem with this approach I find is it does not handle CR/LF translations too well.
1	Like another commentator mentioned, it does have its scalability issues.
0	I am omiting repetitions, but the 3 CODETERM1 s are part of the primary key, of the @Id.
0	@BalusC : Actually I need to convert mysql data to json (xml) and vice-versa.
1	Swing is built on top of AWT and includes light-weight components that look and behave the same on all platforms, so you never should use AWT components directly.
0	Here are Messaging performance data: URL_http://www.jboss.org/community/docs/DOC-10640 [ URL_http://www.jboss.org/community/docs/DOC-10640 ] JBoss MQ is not scalable at all: URL_http://www.jboss.org/community/docs/DOC-12452 [ URL_http://www.jboss.org/community/docs/DOC-12452 ] .
0	an SocketAppender since the event is serialized using the unchanged message pattern + the arguments as Strings.I guess it just depends how you define effectively though.
0	For instance, fluent facade API relieves the users from having to deal with connection management and resource deallocation CODESNIPPET_JAVA1 .
1	It is free and you can use larger key sizes than the default JDK.
1	 is no more part of preview SDK and it is available for Production use.
1	Id suggest using slf4j, since it can use log4j as a backend if thats what you need.
0	Oh, how do I feel your pain!
0	 if you need to be specific about the input streams encoding, you can provide the second argument to CODETERM1 constructor that indicates what charset to use (e.g.
0	Its a new area for me which Im eager to improve myself in.
0	Overall but a few types from JAAS are directly used in Java EE, basically CODETERM1 , CODETERM2 , and CODETERM3 .
0	Could you confirm that this fixes your issue?
1	Actually, I think youll have to do this part on your own using Rhino ( URL_http://www.mozilla.org/rhino/) .
1	Sending code: CODESNIPPET_JAVA2 .
0	) URL_http://en.wikipedia.org/wiki/SwingX [SwingX] Based on Swing and its mission is to create rich components for swing.
0	+1 anyway :).
1	Anyway, there are hundreds of alternatives in Java.
1	) ;-).
1	You could fairly easily use this to serve your file, using URLConnection to obtain it.
0	If Swing is deprecated, what is the alternative?
0	Samiksha, make that another question instead of trying to have a discussion thread in these comments.
1	The provided GUI is very useful to quickly test the scripts.
0	This is what I meant by an IDE-like interface, maybe not the best choice of words.
0	There are 2 that you can use (Ive used them both, and they are both very powerful, and easy to use): URL_http://netbeans.org/ [Netbeans] which has a built in URL_http://netbeans.org/features/java/swing.html [Gui-Builder] .
1	 You use URL_http://java.sun.com/javase/6/docs/api/java/lang/StringBuilder.html [CODETERM3] when you need to create a mutable character sequence, usually to concatenate several character sequences together.
0	See more focussed question here: URL_http://stackoverflow.com/questions/7782720/when-to-move-from - container-managed-security-to-alternatives-like-apache-shiro.
1	URL_http://www.sqlparser.com/sql-parser-java.php [General-SQL-Parser-for-Java] is not open source, but is exactly what you are looking after.
0	Log4j 2.0 is not a facade and does not advertise to be one.
1	I dont want my highly concurrent software to be slowed down by log commands that write everything to disk as some as the command is called.
0	Sometimes this is more important, then technical superiority ofone solution over another.
1	HornetQ looks good.
1	Im sorry.
0	CODESNIPPET_JAVA1 .
1	I would rather prefer a solution without adding additional libraries as mentioned in the post below: URL_http://stackoverflow.com/a/6938341/411951 .
1	Please help me if i am missing something in the code??..
0	I recently needed an encryption algorithm that worked across multiple platforms (Java & C#).
1	Ive a situation with a client that makes use of gson that converts, 300 objects at a time, from json to objects with gson and there are about 9-50k objects to convert.
1	@Gorky: Make a new question.
1	Thats just enormously easier.
1	I find the pull metaphor much more usable than the event metaphor, and creating a document tree using pull is trivial.
0	I can recommend URL_http://www.jooq.org [jOOQ] .
0	The re-sizing can get very degenerate.
0	Thanks for reply; but it gives error The method toJSONString() is undefined for the type JSONObject at jsonArray.push(jsonObj.
1	However with Java 5 (or 6?
0	Or stay and learn to like all the open source stuff that Java gives you.
0	:-/.
0	If you dont like RMI, Spring offers a few other remoting options - Hessian, Burlap, and HttpInvoker (Springs custom remoting solution - Java serialization over HTTP).
1	Goto - Menu Help Install New Software... 2.
0	This can be done automatically using a filter, for example.
0	Crashed in Android with OutOfMemory error on the .write line, every time, for short strings.
0	The Swing classes are part of the JRE, not the browser.
0	what do you want exactly, then ?
0	The frustration of dealing with screen builders and filling out all those property sheets is too much for me.
0	It is concise and Ive yet to encounter a problem with it.
0	Whether its better is a matter of personal taste.
0	I am not sure if there will be any encoding issues.
1	Has extra spaces and where do you close the inputstream?
0	CODESNIPPET_JAVA1 .
1	BTW I hope that future version of JAX-RS add a nice client side API along the lines of the one in Jersey .
0	Second, enabling jasypt is a non-goal.
1	URL_http://www.restlet.org/documentation/1.1/screencast/ [ URL_http://www.restlet.org/documentation/1.1/screencast/ ] Otherwise, there is a Restlet tutorial in the OReilly book that we wrote in their Chapter 12.
1	In our company project we use LOG4j and it is very easy to use like Stephen showed in his example.We also have written our own pattern classes for LOG4j so you can create your own output file schemas.
1	@Will - If this question is closed, what happens to the bounty?
0	Swing is still the preferred way to build heavy-weight, e.g.
0	Basically, if null is a valid response, you have to check for it.
0	I dont understand why its done the way its done in Jackson.
0	So, in a CBC implementation, order is important.
0	Will find out.
1	JAX-RS is a very well designed API that makes mapping HTTP requests to methods, extracting parameters from various parts of a HTTP request, handling content negotiating, and many other low level tasks very easy.
0	AWT is outdated.
0	Of course, there are a few working solutions, e.g.
1	Stability?
0	Ivebeen able to use it for basic web pages though.
0	Swing requires javax.swing package .
1	So I gave it a try.
0	Ive used URL_http://json-lib.sourceforge.net/ [JSONLib] , URL_http://flexjson.sourceforge.net/ [FlexJSON] and URL_http://code.google.com/p/google-gson/ [Gson] all with great success.
0	HttpURLConnection instances are significantly cheaper to create than due to the fact that they share one static JRE wide pool of connections.
0	Great pithy title for a legitimate documentation failure.
1	This code may give unpredictable results.
1	What does that matter?
0	Here, large depends on the computer specs.
0	My old code: AsyncAppender appender (AsyncAppender) LogManager.getRootLogger().getAppender(async);AppenderSkeleton mailAppender (AppenderSkeleton) appender.getAppender(mail);.
1	Its just creating your column families thats a schlep.
1	To save memory, do not unnecessarily store/duplicate the data in memory (i.e.
1	Donal I do not follow... What handles the GET request then?
0	SLF4J has a URL_http://www.slf4j.org/legacy.html [commons-logging-bridge] that you can use to replace the commons logging library.
0	@jmort253 We noticed performance regression after updating some library in our product for several times.
1	There is a lot of tuning in Swing that cannot be attributed to Moores law.
0	+1.
0	Shiro annotations seem to suffer some issues in spring.Information on how to solve it are very har and there are various posts in stackoverflow (1 or 2 posted by myself) which most of the time found no answers.
0	[Theres a mini tutorial here at SO]( URL_http://stackoverflow.com/questions/2793150/how-to-use-java-net - urlconnection-to-fire-and-handle-http-requests).
0	@rblasch: I really like that answer, as it points me to the original problem: There are methods which may return null, and others that may not.
1	SAX Parser: Solely to read a XML document.
0	When I wanted to use JSONLib; I found out that the jar file that is available in URL_http://json-lib.sourceforge.net has some class dependencies and it needs to be used by some other jar files, that contain that classes.
1	I would not generalize from that (certainly isnt representative), but it does factor into my decision of what to use in my scenario.
0	The ID is the primary key, and enforcing unique triplets after that is going to be on _your_ end more than the NoSQL engines end; this is one area where NoSQL suffers compared to SQL, but its also where you find the greatest speed and storage improvements.
1	 swing component provide much flexible user interface because itfollow model view controller(mvc).
1	In the end I Found a ORM framework called Canyon which mapping Files to Objects.
1	 Logback because its newer than log4j and again, supports parameterized logging, as it implements SLF4j directly SLF4j/Logback because its written by the same guy who did log4j, so hes made it better (according to URL_http://stackoverflow.com/questions/354837/whats-up-with-logging-in-java#356038 [Ken-G] - thanks.
0	Its not that difficult, just annoying.
0	I would assume, that you can do something similar in netbeans or eclipse.
0	I would look into URL_http://opencv.willowgarage.com/wiki/ [OpenCV-which- is-a-C++-library-for-computer-vision] .
1	If you are just reading straight through a file, this will most likely not get you much of anything.
1	You could, setup a third business logic server that has a remote api which your two web apps could call.
0	This is a very good article URL_http://kaioa.com/node/59 [ URL_http://kaioa.com/node/59 ] .
0	URL_http://www.antlr3.org/grammar/list.html .
0	Well it depends - not all APIs have the same capabilities as you see, but if you have control over the classes you use to map the XML document JAXB is my personal favorite, really elegant and simple solution (though I havent used it for really large documents, it could get a bit complex).
1	I hope IOUtils takes an optional Charset (or at least the name of the encodding to use).
0	My biggest complaint with the offerings out there is the size of them - we target a download-constrained applet market.
1	But it is a state of preference.
0	Disadvantages: Client JVM management.
1	Please tell me how can I get access to HttpServletRequest Object.
0	Which one do you use?
0	However, it does not allow you to edit (fine tune) the generated code.
1	I just think its important to have a good reason to avoid libraries and that the reason is a valid one, which there very well could be :).
0	A nice way to do this is using URL_http://commons.apache.org/ [Apache-commons] URL_http://commons.apache.org/proper/commons- io/apidocs/org/apache/commons/io/IOUtils.html [IOUtils] to copy the CODETERM1 into a CODETERM2 ... something like CODESNIPPET_JAVA1 .
0	Thanks.
0	It should help you.
1	Or maybe this link is easier to read: URL_http://www.xyzws.com/Javafaq/how-to-use-httpurlconnection-post-data-to- web-server/139 [ URL_http://www.xyzws.com/Javafaq/how-to-use-httpurlconnection - post-data-to-web-server/139] If Java Almanac is down, try URL_http://www.xyzws.com/Javafaq/how-to-use- httpurlconnection-post-data-to-web-server/139 [this-one] .
1	I could give you an example for many NoSQL engines (and certainly can for GigaSpaces) but I dont know which one youre targeting or why.
0	We can hear you loud and clear.
0	Haha - of course it does!
1	This can be incredibly useful if you put stuff like the username and the URL of the request (in case of a webapp) into it.
1	I have switched between several IDEs and the one that I believe has the best GUI builder in terms of use and performance would have to be Netbeans.
0	If you have a deep bean structure, everything else will be implemented with dyna beans.
0	2) contains an error, it adds always null at the end of the string as you are always makeing one more step then necessary.
1	- Means you could extend the tool to create a Iris Search database - I could take another iris image and try to match with existing image Image acquisition is not available.
0	CODESNIPPET_JAVA2 .
0	So as a conclusion, on the ease of use and learning curve aspects, Shiro is really quite likeable, and I think I will probably go with it in the future, unless I encounter some features lacking or some other problem (which I havent so far).
0	Java GUI frameworks.
0	are good tools for this.
0	Does String x A + B; really compile to be a StringBuilder?
0	Yes it is still in use.
1	) that I can use to wrap my application which can be a bunch of JSPs or HTMLs with JS?
0	swing+javafx+wpf+qml [1-out-of-120-questions] on StackOverflow is about Swing!
0	I recommend the URL_http://commons.apache.org/proper/commons-lang/javadocs /api-release/org/apache/commons/lang3/builder/ToStringBuilder.html [Apache- Commons-ToStringBuilder] to make this easier.
0	Its clunky and hard to read, and overly verbose.
1	If you do, gist it and Ill append your results to the answer.
1	Not sure if this just wasnt true at the time of writing, but the JavaFX site states that it supports Linux.
1	Welcome to Stack Overflow.
0	 awt occupies more memory space.
1	If you are not trying to do this effectively, you are like dude from Jackass 3d who was CODETERM1 .
1	google, github, etc.
1	I say new, but its really been around for years, just not as open source.
0	Swing apps no loger feel jerky and unrepsonsive and an accumulation of minor improvements result in a more professional looking GUI.
0	The answer of whether the reward is greater than the cost is a decision not to be taken lightly.
1	V6.5 is excellent and realy improved over v5.
1	I have looked on few NLPs like URL_http://alias-i.com/lingpipe/index.html [LingPipe] , OpenPL, URL_http://nlp.stanford.edu/index.shtml [Stanford-NLP] .
0	@Pelegi, can you mention just one thing that JBoss does better than Glassfish?
1	any ideas about performance of Scanner vs reading the stream in a more verbose way?
1	Can you make some examples, please?
1	As for using SLF4J in your application, it is not strictly necessary.
1	My idea was to have write a sever app on each machine that acts as a gateway from the control center to the radio hardware, with one socket for each unit.
0	@abhinav-sarkar Querydsl supports that, just not as directly as JOOQ.
1	Cassandra, Neo4j, MongoDB, etc.
1	For example, the table views do support filtering and sorting but you still have to configure this.
1	Go through it and you can always ask question and problems.
0	I would ask yourself how many connections you expect to be handling.
1	CODESNIPPET_JAVA1 .
0	Configure the debugger on the command line with the onthrow=com.whatever.TurnOnDebuggerException part added 4.
0	 If your string can change, and will be accessed from multiple threads, use a CODETERM12 because CODETERM13 is synchronous so you have thread-safety.
1	And which would benefit the program more?
0	Fluent facade API exposes only the most fundamental functions of HttpClient and is indended for simple use cases that do not require the full flexibility of HttpClient.
0	HTMLUnit will work, but for me it has seemed to have limited support for Javascript.
0	Especially, CODESNIPPET_JAVA1 .
1	URL_http://activemq.apache.org/how-does-activemq-compare-to-jbossmq.html [ URL_http://activemq.apache.org/how-does-activemq-compare-to-jbossmq.html ] .
0	Its based on a grammar and JavaCC, so probably a better option than reinventing this wheel with antlr in any event.
0	I am not sure if you are upset with the question, but since I did not find the same question already answered and the community here is friendly enough with such questions, I figured I would go ahead and ask for opinions.
0	See URL_http://commons.apache.org/proper/commons-io///apidocs/org/apache/commo ns/io/FileUtils.html#deleteDirectory%28java.io.File%29 [FileUtils.deleteDirectory()] <s>Also with URL_http://code.google.com/p/guava-libraries [Guava] :</s> <s> CODETERM1 </s> This has been removed from Guava several releases ago.
0	I wasnt aware that SWT was based on a combination of AWT and Swing.
0	Sorry this was more than two years ago and I havent done any Java since.
