	thread	tid	sent	ManualLabel	codes	stakeholder	signal	intent	action	LEN	LEN.1
1470	4991084	4991084:62	And I am glad I did, because after a day working on it I managed to learn enough about the APIs not only to set up a basic authentication and authorization system in my Spring webapp without trouble, but also to implement the custom SSO behaviour I was looking for.	p	['Others']					267	108
772	2356137	2356137:10	It really doesn't matter whether you're using CODETERM1 or not.	o	['OnlySentiment']					65	149
1234	992019	992019:82	erickson says to Share the password (a char[]) and salt (a byte[]8 with recipient but then send the ciphertext and the iv to the recipient which is it?	o	['Others']					157	119
1932	408820	408820:58	(There are better 3rd party native looking skins than Swing's implementations BTW) Lots of people preferred using AWT's FileDialog over Swing's FileChooser because it gave the platform file dialog most people were used to rather than the 'weird' custom Swing one.	p	['Others']					265	91
4282	2971315	2971315:96	That doesn't sound useful at all, but maybe I have yet to see the light :) .	n	['Usability']					78	19
2105	8938752	8938752:3	I mean, if i was looking to create URL_http://stackoverflow.com/questions/6774904/nested-rest-routing [the-url- structure-described-by-Wim] URL_www.example.com/images URL_www.example.com/images/id/num URL_www.example.com/images/tag/num URL_www.example.com/images/tag/num/num/num Would it not be easier (for future developers) and faster (to implement and learn) to map the url pattern /images to a servlet and have a line or two that parses the url for the parameters instead of learning, implementing and configuring one of these libraries to do it for you.	o	['Others']					560	86
3317	9503477	9503477:30	for converting json to pojos : URL_http://code.google.com/p/google-gson/ [gson] and URL_http://jackson.codehaus.org/ [jackson] .	o	['Usability']					130	50
1878	408820	408820:4	Related: URL_http://stackoverflow.com/questions/2994304/is-java-swing-still-in - use/2994324#2994324.	o	['Others']					103	93
3652	309424	309424:147	eg.	o	['Usability']					5	40
2892	4097567	4097567:4	I've been trying to make this work by putting my own hibernate jars in my WEB- INF/lib folder and creating my own classloader for my WAR in jboss-web.xml CODESNIPPET_JAVA1 .	o	['Performance']					175	62
2566	26458	26458:2	Is there any IDE that simplifies creating Swing applications (ideally something along the lines of Visual Studio) .	p	['Others']					117	71
421	395401	395401:16	usage of reflection ToStringBuilder, HashCodeBuilder and EqualsBuilder is highly inefective.	n	['Documentation']					94	188
833	2356137	2356137:71	Avoid processing bytes and characters individually.	p	['OnlySentiment']		suggestion			53	144
1327	4644625	4644625:8	Thank You!!	p	['Others']					13	115
3571	309424	309424:66	Only works for closes streams, I believe.	n	['Usability']					43	43
2563	5905334	5905334:8	I discovered them recently and this is really it.	o	['Others']					51	71
1912	408820	408820:38	:).	o	['Others']					5	92
1346	5571519	5571519:13	 How hard is to build this tool?	o	['Others']					34	114
2482	7358775	7358775:171	URL_http://www.eclipse.org/swt/ [SWT] by itself is pretty low-level, and it uses the platform's native widgets through JNI.	p	['Others']					125	74
3656	309424	309424:151	@Chris Noldus On the other hand, some people already have guava in their project, like me, and think this solution is more elegant than the sdk-only version.	o	['Usability']					159	40
595	5415111	5415111:81	It is pretty convenient for a lot of cases.	p	['Legal']					45	164
2000	20639844	20639844:3	From previous questions I found great example of authenticating with openID on github: URL_https://github.com/gary-rowe/DropwizardOpenID [ URL_https://github.com/gary-rowe/DropwizardOpenID ] However, I don't want to deal with openID at the moment and simply want users to 1.	p	['Others']					276	89
996	326390	326390:144	CODESNIPPET_JAVA1 .	n	['Others']					21	133
3256	1688099	1688099:59	@Malax Since you have access to the code, couldn't you change JSONObject#getNames to return whatever you'd like in that case?	n	['Usability']					127	52
2681	26458	26458:117	It generates clean source code, with good patterns and easy to patch/modify/extend.Unfortunately, it is not very stable.	n	['Performance']					122	68
2102	7873197	7873197:9	See URL_http://cxf.apache.org/docs/jax-rs-basics.html#JAX-RSBasics- Contextannotations [Context-Annotations] .	o	['Others']					112	86
1032	326390	326390:180	That said, there are probably a hundred better ways to do it (just, this method has less code).	o	['Others']					97	131
3651	309424	309424:146	+1 for guava, -1 for not specifying the encoding of the input stream.	o	['Usability']					71	40
1795	5304919	5304919:6	possible duplicate of [GAE webapp alternative working outside of GAE environment]( URL_http://stackoverflow.com/questions/5278308/gae-webapp - alternative-working-outside-of-gae-environment).	o	['Others']					193	96
2262	221442	221442:16	The nice thing is if you implement your RESTful resources using JAX-RS then the Jersey client can reuse the entity providers such as for JAXB/XML/JSON/Atom and so forth - so you can reuse the same objects on the server side as you use on the client side unit test.	p	['Others']					266	80
4177	3581741	3581741:5	Example: In Java, you would say str.charAt(8);In C#, you would say str[8]; .	o	['Usability']					78	21
3089	338586	338586:78	So I used Gson.	p	['Security']		suggestion			17	56
1809	9887454	9887454:1	Convert Java AWT code to Android.	o	['Others']	User-turned-author	fix code		attempt	35	95
1743	3232842	3232842:21	It's a URL_https://github.com/Netflix/astyanax/wikihttp:// [very-well-documented] Cassandra API with many examples and support very high level features such as locking and all versions of cql.	p	['Others']					194	98
3078	338586	338586:67	If you have a deep bean structure, everything else will be implemented with dyna beans.	n	['Security']					89	56
3582	309424	309424:77	Code that is going to work on a single could be quite sure that default encoding will be fine.	o	['Usability']					96	42
242	410890	410890:31	Therefore, one should not have a chain of messages, e.g.	o	['Community']					58	223
3879	660609	660609:25	 If you need a parser there should be a parser in the code base of URL_http://db.apache.org/derby/ [Apache-Derby] .	o	['Usability']					117	33
3728	309424	309424:223	As mentioned above, available() is not the way to go.	n	['Usability']					55	38
442	395401	395401:37	line 21: ToStringBuilder cannot be resolved.	o	['Documentation']					46	185
3554	309424	309424:49	@Igal I didn't measure it.	o	['Usability']					28	43
864	326390	326390:12	Java 7 introduces byte[] Files.readAllBytes(file); To those, who suggest the 'one-line' Scanner solution: Don't yo need to close it?	o	['OnlySentiment']					134	142
885	326390	326390:33	Some channels (SocketChannel) support non-blocking IO, but this isn't true of all channels.	o	['OnlySentiment']					93	141
3749	312552	312552:2	I am looking for a Java open source beautifier or reformatter for SQL that I can use to clean up DDL statements that I am generating with URL_http://www.openarchitectureware.org [openArchitectureWare] .	o	['Usability']					204	37
2144	8938752	8938752:42	But as the webapp gets larger, the benefit of having a tested library to handle all the low-level stuff really does win out.	p	['Others']					126	84
3335	13498349	13498349:6	Change your code as: CODESNIPPET_JAVA1 .	o	['Usability']					42	49
4333	309424	309424:41	@ArchimedesTrajano does IOUtils.copy(inputStream, writer, encoding) deal with CR/LF translations better?	p	['Usability']					106	15
226	410890	410890:15	In IntelliJ IDEA you can set _exceptionbreakpoints_.	o	['Community']					54	227
81	2129375	2129375:55	Doesn't it allow you to extract data from it?	n	['Bug']					47	308
711	1109307	1109307:55	These are standard on Linux, are generally available on Unix and can be run on Windows under cygwin, although you may be able to find windows-native apps that can do it as well.	p	['OnlySentiment']		explain suggestion			179	155
3924	6089399	6089399:24	It's async but not highly concurrent.	n	['Usability']					39	32
390	922779	922779:63	Users are going to have no idea whats going on when you hit a breakpoint and spend a few moments grepping through memory.I would try to find the spots in your code that are having problems and expose the current state via JMX and keep detailed audit logs of what is happening.	n	['Documentation']		explain suggestion			278	194
3548	309424	309424:43	Not saying it isn't an issue.	n	['Usability']					31	43
4143	1802915	1802915:28	Maybe, but 1) it's likely to be faster and 2) that's code you don't need to write.	o	['Usability']					84	22
3257	1688099	1688099:60	But that JSON library could still stink for other reasons (never used them personally, but I know we're using them at work).	n	['Usability']					126	52
3336	13498349	13498349:7	Thanks for reply; but it gives error The method toJSONString() is undefined for the type JSONObject at jsonArray.push(jsonObj.	n	['Usability']					130	49
1244	992019	992019:92	It's not an ideal place for neophytes (bouncycastle license won't work for me), but with 83k views to the thread a more polished example is really needed.	n	['Others']					156	119
300	410890	410890:89	Here's how to find the bug, using Eclipse.	o	['Compatibility']					44	209
4051	354837	354837:39	Is this an answer?	n	['Usability']					20	27
2529	7358775	7358775:218	It is no longer maintained and the support for it has been removed from NetBeans.	o	['Others']					85	72
936	326390	326390:84	Check out URL_http://java.sun.com/docs/books/tutorial/essential/io/scanning.html .	p	['OnlySentiment']					84	138
2201	333690	333690:34	The Restlet framework is composed of four main parts.	o	['Others']					55	82
893	326390	326390:41	Possible typo?	n	['OnlySentiment']					16	141
1006	326390	326390:154	In that case you might end up with an incomplete file.	p	['Others']					56	133
508	1728020	1728020:52	If a certain amount of delay (at minimum in the order of a few seconds) is acceptable, polling is less of an abuse of the HTTP protocol.	p	['Documentation']					138	175
284	410890	410890:73	A getter's purpose is to return a property.	o	['Compatibility']					45	213
1212	992019	992019:60	Most providers don't have good support for the PBEwithand algorithms; for example, the SunJCE doesn't provide and PBE for AES.	n	['Others']					128	121
3564	309424	309424:59	Or read all bytes and use new String(bytes, charset)?	o	['Usability']					55	43
3625	309424	309424:120	Luckily we are building and selling our own product so we don't really have the so called deadlines.	p	['Usability']					102	41
3428	267306	267306:32	The number of connections you're talking about tells me you should use java.net.	p	['Usability']					82	47
1660	3451935	3451935:46	If you just want to use something because of the hype, pick anything.	p	['Others']					71	101
371	922779	922779:44	@Shabby - yep - looks like this would work 1.5+, and is a great solution.	o	['Documentation', 'Usability']					75	197
1408	327513	327513:21	I was playing with bitap written in ANSI C and it was pretty fast there is java implementation in URL_http://www.crosswire.org [ URL_http://www.crosswire.org ] .	p	['Others']					163	111
3406	267306	267306:10	Instead of putting each server on different ports, is it possible to use channel selectors on the client side, or is it better to go multi-threaded io on the client side of things and configure the servers differently?	p	['Usability']					220	47
717	1109307	1109307:61	Since the concept of a Windows remote login isn't as well- established as it is under Linux, this may be preferable.	n	['OnlySentiment']					120	154
1015	326390	326390:163	One of best answers here ( URL_http://stackoverflow.com/a/326448/1521167 [ URL_http://stackoverflow.com/a/326448/1521167 ] ): CODESNIPPET_JAVA1 .	n	['Others']		explain suggestion			147	132
1712	3451935	3451935:98	The SQL database you have most experience with.	p	['Others']					49	99
2950	507391	507391:34	JBoss Messaging replaces JBoss MQ.	o	['Security', 'Bug']		explain			36	60
658	1109307	1109307:2	I need a simple application, preferably a cross-platform one, that enables sending of files between two computers.	o	['OnlySentiment']					116	159
488	1728020	1728020:32	Once the server uses the connection to send a message, a new connection needs to be opened up for the next message.	o	['Documentation']					117	179
651	1359689	1359689:56	Timeouts are set like this CODETERM2 the input parameter is in milliseconds .	o	['OnlySentiment']					79	159
2731	26458	26458:167	I have always coded my UIs by hand.	o	['Performance']					37	66
2362	7358775	7358775:51	_Why doesn't java (which is the most widely used programming language in the world) have the same set of GUI components?_ Is it just that java has based their gui components at a much lower level, and it is possible to write all these advanced components that im looking for, but you have to do much if not all of the work yourself?	o	['Others']					334	77
655	1359689	1359689:60	shouldn't it be \r\n instead of \n?	o	['OnlySentiment']					37	159
494	1728020	1728020:38	Right now, I've got real-time measurements updating in my browser, and just one connection (I think).	p	['Documentation']					103	177
4168	1802915	1802915:53	Karl .	o	['Usability']					8	21
1379	1410408	1410408:9	For example, 2 wednesdays from now can't be parsed by any other solution I've found.	n	['Others']					86	113
2325	7358775	7358775:14	) Swing became the framework of choice for building new applications.	p	['Others']		explain suggestion			71	78
2791	2994304	2994304:53	short and to the point.	p	['Performance']					25	64
775	2356137	2356137:13	The same applies on using NIO.	n	['OnlySentiment']					32	149
2407	7358775	7358775:96	If SWT is missing a feature that you need, the framework is somewhat hostile to extending it.	o	['Others']					95	76
2642	26458	26458:78	The most complicated part is using, for example, the layouts (If you can not handle complicated parts), but everything is almost plug & play.	o	['Performance']					143	69
4073	354837	354837:61	] , especially: There are some potentialclassloading issues with CommonsLogging.	o	['Usability']					82	26
858	326390	326390:6	Can anyone explain me in a very simple way what's with the NIO?	o	['OnlySentiment']		clarification			65	142
2130	8938752	8938752:28	Yes, JAX- RS helps with this.	p	['Others']					31	85
4318	309424	309424:26	CODESNIPPET_JAVA1 .	o	['Usability']					21	16
2766	2994304	2994304:28	This is patently false.	n	['Performance']					26	65
127	5059224	5059224:43	XML hasn't changed much.	o	['Bug']					26	273
2644	26458	26458:80	I think that will be good.	o	['Performance']					28	69
2714	26458	26458:150	 Debugger**Debug a Swing GUI application without looking into the source code and control the execution flow in terms of high-level structures.	o	['Performance']					145	67
2945	507391	507391:29	I have done certain research using MOM with Jboss and GlassFish, but one of the most important impact was the permanent storage if you are going to use any.	o	['Portability']					158	60
3000	1229273	1229273:41	It's strictly what you're used to.	p	['Security']					36	59
2787	2994304	2994304:49	Real programmers don't read documentation.	o	['Performance']					44	65
3050	338586	338586:39	Most java json libs do not deal with cyclic deps -- that's more domain of object serialization frameworks.	n	['Security']					108	57
3273	1688099	1688099:76	Then I use GSON upon the generated classes.	p	['Usability']					45	51
2213	333690	333690:46	Note that the example above uses a simplified way to issue calls via the _ClientResource_ class.	o	['Others']					98	82
596	1359689	1359689:1	How to send HTTP request in java?	o	['Legal']					35	164
3005	1229273	1229273:46	I started developing a Seam application on JBoss and after a few months tried to get it working on Glassfish.	n	['Security']					111	59
2776	2994304	2994304:38	For all these negatives, I have edited the question.....	o	['Performance']					58	65
2278	221442	221442:32	You could try URL_https://github.com/harikrishnan83/rapa/wiki/ [Rapa] .	o	['Others']					73	79
1661	3451935	3451935:47	But this question doesn't make any sense.	n	['Others']					43	101
339	922779	922779:12	 This is a hack that will let us limit our risk, even on 1.4.2 JVMs: Command line params: CODESNIPPET_JAVA1 .	o	['Documentation', 'Community']					111	202
2198	333690	333690:31	It doesn't really get into any code (it's a 50,000-foot flyover) but I think it'll give you just what you need at this stage.	p	['Others']		clarification			127	82
1870	5828625	5828625:31	There is nothing wrong with swing.	p	['Others']					36	93
1269	992019	992019:117	In other words you need to generate another key to use a MAC, or you could use an authenticated mode of encryption such as GCM.	o	['Others']					129	118
3181	338586	338586:170	I remember lying in bed one night at about 2am wondering how hard could it be, after a bit I got up and started writing - URL_http://www.softwaremonkey.org/Code/JsonParser [this-tiny-parser-is-the- result] .	p	['Usability']					211	54
2426	7358775	7358775:115	I hate it when I write a UI and users complain that something doesn't work for them because they selected an odd theme.	o	['Others']					121	75
3160	338586	338586:149	Any plans to support circular dependencies in the near future?	o	['Usability']					64	55
3912	6089399	6089399:12	A bit of investigation highlighted some scarily bad synchronization in the source code.	n	['Usability']		clarification			89	32
3263	1688099	1688099:66	etc.	o	['Usability']					6	52
3657	309424	309424:152	CODESNIPPET_JAVA1 .	o	['Usability']					21	40
4392	309424	309424:100	It's awesome when your managers say Wow James!	p	[u'Documentation']		suggestion			49	9
3831	5620985	5620985:47	Can you make some examples, please?	o	['Usability']					37	35
2125	8938752	8938752:23	If it is just about extracting parameters, then surely it is easier to stay closer to the Java standard.	p	['Others']					106	85
237	410890	410890:26	this is probably a code smell and should be avoided.	n	['Community']					54	225
877	326390	326390:25	You can view the old version via the edited link on this answer.	o	['OnlySentiment']					68	141
2969	1229273	1229273:10	Hot deployment is more reliable on GlassFish 3.	p	['Security', 'Usability']					49	59
3921	6089399	6089399:21	It might be that you decide the log4j async appender is not appropriate URL_http://glueclue.blogspot.com/2007/01/log4j-asyncappender-is-not- always_31.html [(here-are-some-complaints-about-it)] , you could always make your own appender.	n	['Usability']					238	32
1776	5802639	5802639:27	Mujer, your domain looks like it would be much easier modelled in the graph database itself.	o	['Others']					94	97
29	2129375	2129375:3	Thank you.	p	['Bug', 'Usability']					12	403
646	1359689	1359689:51	There's a great link about sending a POST request URL_http://web.archive.org/w eb/20120101100355/ URL_http://www.exampledepot.com/egs/java.net/Post.html [here] by Example Depot:: CODESNIPPET_JAVA1 .	p	['OnlySentiment']					200	159
1469	4991084	4991084:61	So I gave it a try.	o	['Others']					21	108
538	5415111	5415111:24	Contrary to a popular misconception HTTP is a fairly complex protocol.	n	['Documentation']					72	171
2773	2994304	2994304:35	 What?	o	['Performance']					9	65
4311	309424	309424:19	You to know and specify the character encoding for the stream, or you have character encoding bugs, since you will be using a randomly chosen encoding depending on which machine/operating system/platform or version thereof your code is run on.	o	['Usability']					245	17
4219	2971315	2971315:33	But if it is initialize to 10k then you write 1 character more than 10k, it will get re-allocated and copied to a 20k array.	o	['Usability']					126	21
4103	354837	354837:91	The 'thin' wrapper eliminates the need for another jar being packaged and is not as much as reinventing.	o	['Usability']					106	25
1615	3451935	3451935:1	Suggest a simple NoSQL database for java project.	p	['Others']					51	103
77	2129375	2129375:51	See its URL_http://www.theserverside.com/news/thread.tss?thread_id=50059 [announcement] on TheServerSide to see how it compare to JTidy, TagSoup, NekoHtml.	o	['Bug']					157	311
2217	333690	333690:50	 	o	['Others']					3	82
1869	5828625	5828625:30	URL_http://www.eclipse.org/swt/ [The-Standard-Widget-Toolkit] .	o	['Others']					65	93
3421	267306	267306:25	With a modern 64-bit OS you can have hundreds of thousands of threads.	o	['Usability']					72	47
4116	1802915	1802915:1	Java - Create a new String instance with specified length and filled with specific character.	o	['Usability']					95	24
2489	7358775	7358775:178	It enables you to whip up a working UI quite quickly, as long as it is IDE- like (with tables, trees, native controls, etc).	p	['Others']					126	73
798	2356137	2356137:36	Generally _a lot_ faster for large files.	p	['OnlySentiment']					43	147
2471	7358775	7358775:160	Updated my answer.	o	['Others']					20	74
2769	2994304	2994304:31	Edited it..........	n	['Performance']					21	65
3224	1688099	1688099:27	It is not the fastest possible solution but it is simple enough to program to justify the lack of performance for the user until now.	p	['Usability']					135	53
4339	309424	309424:47	excellent trick!	p	['Usability']					18	15
2801	2994304	2994304:63	There are other options though.	p	['Performance']					33	64
345	922779	922779:18	Of course, one can't turn it off afterward, and the debugger still listens promiscuously once its on.	o	['Documentation', 'Performance', 'Usability']					103	201
1894	408820	408820:20	This made Swing unfortunately slow to catch on.	n	['Others']					49	92
3165	338586	338586:154	The json.org library does pretty well with serializing basic beans with reflection, but doesn't have these advanced features.	p	['Usability']					127	54
1643	3451935	3451935:29	What does that matter?	n	['Others']					24	102
164	35785	35785:14	It does however require mapping annotations for each field.	n	['Bug']					61	254
3316	9503477	9503477:29	Run it on Jetty...it will be light-weight!.	p	['Usability']		explain			45	50
2046	20639844	20639844:49	I am looking through the code and implementing my simple service in parallel.	o	['Others']					79	88
481	1728020	1728020:25	As soon as either happens the client opens a new connection.	o	['Documentation']					62	179
2964	1229273	1229273:5	Does JBoss Seam work well on Glassfish?	o	['Security', 'Usability']		clarification			41	60
3519	309424	309424:14	For instance, System.console().readLine() (new in Java 6) is pretty easy.	p	['Usability']					75	44
2242	333690	333690:75	In this case, the standalone mode is probably a better fit.	n	['Others']					61	81
3953	462566	462566:29	Stop the madness.	n	['Usability']					19	31
4249	2971315	2971315:63	@Sujee :Yours is better +1.	p	['Usability']					29	20
1363	5571519	5571519:30	Look for a copy of this paper: Name Tagging with Word Clusters and Discriminative Training Scott Miller, Jethran Guinness, Alex Zamanian .	o	['Others']					140	113
49	2129375	2129375:23	which features do they have?	o	['Bug']					30	344
2185	333690	333690:18	I so agree with you!	o	['Others']					22	83
3850	5620985	5620985:66	What is the level of query complexity that you achieved to reach with the JPA Criteria API, without making the query utterly unreadable?	o	['Usability']					138	34
1076	1522143	1522143:33	It should be compatible with itself, however.	n	['Others']					47	128
2557	5905334	5905334:2	I have the following code in my constructor for my GUI CODESNIPPET_JAVA1 .	o	['Others']					76	71
1044	1522143	1522143:1	Which is the standard Java crypto API?	o	['Others']					40	130
3407	267306	267306:11	 Actually, since the remote machines serve only to interact with other hardware, would RMI or IDL/CORBA be a better solution?	p	['Usability']					127	47
668	1109307	1109307:12	The receiving code needs to be put inside a loop, so that everytime someone wants to connect to the server, the server can handle the request and then go back to waiting on serverSoc.accept().	o	['OnlySentiment']					194	158
4170	1802915	1802915:55	So it's an O(1) operation (no loop) and it saves memory (if that is a real issue).	o	['Usability']					84	21
3685	309424	309424:180	(shown below) I left out try/catch blocks for the sake readability.	o	['Usability']					69	39
2917	507391	507391:1	Active MQ vs JBoss Messaging.	o	['Portability']					31	61
2341	7358775	7358775:30	But the TreeTable does not support filtering and sorting as far as i know.	o	['Others']					76	78
4332	309424	309424:40	So you have to make sure your line endings are consistent.	o	['Usability']					60	15
2657	26458	26458:93	The Eclipse Visual Editor project is also pretty inactive.	o	['Performance']					60	69
4209	2971315	2971315:23	URL_http://java.sun.com/javase/6/docs/api/java/lang/StringBuilder.html [CODETERM2] is a mutable class that can be appended to, characters replaced or removed and ultimately converted to a CODETERM3 CODETERM4 is the original synchronized version of CODETERM5 You should prefer CODETERM6 in all cases where you have only a single thread accessing your object.	o	['Usability']					359	21
462	1728020	1728020:6	(Yes, ActiveMQ supports it too, but waggly IMHO.	n	['Documentation']		suggestion			50	182
4411	309424	309424:119	@jmort253 We noticed performance regression after updating some library in our product for several times.	n	[u'Others']					107	8
1931	408820	408820:57	 some people prefer the native look of AWT over Swing's 'not quite there' platform skins.	p	['Others']		clarification			91	91
